timestamp,range,azimuth,elevation
0.0,49.52184511283234,0.015242787870950348,-0.003998781958476695
0.1,50.19827650570886,0.05204481358965908,0.007559194279768595
0.2,50.48512593416417,0.11303895941913735,0.017770452906478985
0.3,51.05691216964353,0.1413813851502476,0.021028304981881476
0.4,51.48834015383409,0.1979450371603598,0.03373724398180905
0.5,51.84880111993412,0.2458210356788836,0.0366601654245645
0.6,52.54452145892055,0.2917721867114227,0.04616229955434114
0.7,53.0784969911891,0.3477810780287413,0.051911961448839074
0.8,53.64551608249033,0.3879948944510129,0.05607062483864619
0.9,54.43821369324834,0.4371493010188849,0.0631627918459411
1.0,55.0326442340356,0.4901594833930438,0.06596131103902347
1.1,55.51888915155823,0.5369623868661919,0.07119796010834316
1.2,56.12643585141065,0.5847427920138657,0.0760461527632609
1.3,57.17180490513904,0.6385223398918239,0.08182756854124976
1.4,57.87673553256087,0.6811466184920239,0.08481358323204903
1.5,58.35824933903173,0.7276997415442533,0.0888277252418389
1.6,59.20646197303031,0.7712270397754406,0.09346513437597148
1.7,59.84592477382223,0.8146747190035038,0.09675231718107297
1.8,60.672990640325996,0.862412836269152,0.10091216692994966
1.9,61.42392451998595,0.9103859226508828,0.1039869850228303
2.0,62.06734107440263,0.957581561560645,0.10651913926315573
2.1,62.83091942958376,1.002821464335447,0.10926527581788225
2.2,63.50742125028448,1.041697305943715,0.11210214227311742
2.3,64.2989163013083,1.087796039549338,0.11470404781476101
2.4,65.11181514755177,1.1343460309998104,0.11663185566023774
2.5,65.7314271844781,1.1738743138817658,0.11891969399200384
2.6,66.6387063412574,1.217730397276535,0.12056345914690747
2.7,67.35121685360983,1.2612255740625983,0.12239405623869941
2.8,68.04683057170138,1.3005852503254397,0.12401614769022513
2.9,68.80783110255855,1.341484082264585,0.12558223637130282
3.0,69.5663737599023,1.385731383792618,0.12648507204487674
3.1,70.32398492061036,1.4257199462211475,0.12781440859556214
3.2,71.0458117769932,1.4651336913615234,0.12870420455479032
3.3,71.8682859944883,1.5032064115160682,0.12999026405391307
3.4,72.63606677948281,1.5453051412030588,0.1303810815197828
3.5,73.30823617066986,1.5830948512128765,0.13110006322986423
3.6,73.99187372274488,1.6163351984444562,0.1322055655079828
3.7,74.7570698114417,1.656209228966773,0.13271501490210086
3.8,75.46740656114115,1.6918932785641775,0.13346450630656096
3.9,76.24135540348574,1.7291122177501334,0.1337424072338165
4.0,76.90151167724285,1.7642848529283733,0.1340445217989397
4.1,77.67498425263177,1.7998638686144868,0.13418579979354457
4.2,78.38421035678216,1.833501654302639,0.13437194639918237
4.3,79.08386121703649,1.8665893452485557,0.13440785089352996
4.4,79.80016331908332,1.9002221617351662,0.1344443900994348
4.5,80.45719366427352,1.931707996324056,0.1343354399763155
4.6,81.18957434771236,1.9647201732958434,0.13426034177265814
4.7,81.89672018868972,1.9961626084478107,0.1340428678263304
4.8,82.5273574229555,2.023255152504853,0.1338870535308693
4.9,83.21098864703816,2.053896016186414,0.13358302325852573
5.0,83.89973279183785,2.0834614264624956,0.1331782294132338
5.1,84.58287756778434,2.1126746401614745,0.13264475471922718
5.2,85.23233486301322,2.1402283471032333,0.1320491953257008
5.3,85.83416751240032,2.165275030231924,0.13146479528005388
5.4,86.53320295287661,2.193021966555191,0.1307525357908906
5.5,87.15286576628045,2.217346377317734,0.13000670849176313
5.6,87.82823623199859,2.242781440742127,0.12920954388610738
5.7,88.4239841857905,2.2670732483849176,0.12836261546252924
5.8,89.04374352125139,2.289133469376679,0.1274850811906297
5.9,89.65825316503949,2.312154425626938,0.12654316068694038
6.0,90.27989524458373,2.334057393450978,0.12555514064376378
6.1,90.87127977461947,2.355152631557993,0.12453664210332847
6.2,91.4429381395896,2.375120658421884,0.12348505504245607
6.3,92.05432655823198,2.395213619551187,0.12239454170624022
6.4,92.65178652618991,2.4144499092497645,0.12126839352758112
6.5,93.2087595604118,2.432630138944116,0.12011116631855219
6.6,93.78440939598289,2.4510006859570773,0.1189254323146452
6.7,94.35926343588975,2.468864771579294,0.1177114436579691
6.8,94.92083582459998,2.486242371424747,0.11646736398457014
6.9,95.4851253457582,2.50346077332766,0.11519448842429813
7.0,96.01254359005481,2.519782875149302,0.11390455088277252
7.1,96.53835674312891,2.5358043642301377,0.11258682415175653
7.2,97.05051918341641,2.5515159330922895,0.11124618797931327
7.3,97.55806626604812,2.566973322138971,0.1098801990479743
7.4,98.05739832715077,2.582236894056238,0.1084910237721867
7.5,98.54876935105263,2.597232252190184,0.1070779768652033
7.6,99.02273185966624,2.611756470366657,0.10565011707018868
7.7,99.49757367468131,2.626244690321287,0.10420010996845353
7.8,99.96205734327464,2.6405232675924727,0.1027282662998634
7.9,100.4137256247963,2.654519985956041,0.10123565158673756
8.0,100.84904753034963,2.668165682859942,0.09972740941913165
8.1,101.2778841444933,2.681533083505295,0.09820063229712759
8.2,101.69837922262193,2.6946051510373857,0.0966573030279644
8.3,102.10091217757917,2.7073173738466185,0.09510103632906109
8.4,102.50293489814234,2.719818815152433,0.09353051187474412
8.5,102.88339591494953,2.731932338271701,0.0919491629858348
8.6,103.26189531553816,2.743778546193798,0.09035518299849306
8.7,103.62630048386383,2.755320531525287,0.0887508734372517
8.8,103.97864112046427,2.766526105825316,0.0871383742461917
8.9,104.31649982464016,2.777416045934571,0.08551690467540291
9.0,104.64098485208575,2.787994979147171,0.08388720138980387
9.1,104.9515566085141,2.7982269229094723,0.08225251693425232
9.2,105.24921966113645,2.808160408223652,0.0806122557470405
9.3,105.53483984132036,2.817750791428386,0.0789679234839556
